model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.v.weight,68,cosine_similarity,0.43336495757102966,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.v.weight,68,cosine_similarity,0.1723545640707016,768,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.o.weight,69,cosine_similarity,0.3197355270385742,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.o.weight,69,cosine_similarity,0.09221736341714859,768,768
t5-base,actmat,transformer.encoder.block.11.layer.1.DenseReluDense.wi.weight,70,cosine_similarity,0.306918740272522,768,3072
t5-base,identity,transformer.encoder.block.11.layer.1.DenseReluDense.wi.weight,70,cosine_similarity,0.08801184594631195,768,3072
t5-base,actmat,transformer.encoder.block.11.layer.1.DenseReluDense.wo.weight,71,cosine_similarity,0.04181230440735817,3072,768
t5-base,identity,transformer.encoder.block.11.layer.1.DenseReluDense.wo.weight,71,cosine_similarity,0.03773234039545059,3072,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.q.weight,72,cosine_similarity,0.5806371569633484,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.q.weight,72,cosine_similarity,0.130038782954216,768,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.k.weight,73,cosine_similarity,0.5713301301002502,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.k.weight,73,cosine_similarity,0.130038782954216,768,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.v.weight,74,cosine_similarity,0.24216118454933167,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.v.weight,74,cosine_similarity,0.130038782954216,768,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.o.weight,75,cosine_similarity,0.3636627495288849,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.o.weight,75,cosine_similarity,0.11467356979846954,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.q.weight,76,cosine_similarity,0.2881580889225006,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.q.weight,76,cosine_similarity,0.0905497819185257,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.k.weight,77,cosine_similarity,0.29702630639076233,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.k.weight,77,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.v.weight,78,cosine_similarity,0.28869009017944336,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.v.weight,78,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.o.weight,79,cosine_similarity,0.34023982286453247,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.o.weight,79,cosine_similarity,0.06507483124732971,768,768
t5-base,actmat,transformer.decoder.block.0.layer.2.DenseReluDense.wi.weight,80,cosine_similarity,0.40572589635849,768,3072
t5-base,identity,transformer.decoder.block.0.layer.2.DenseReluDense.wi.weight,80,cosine_similarity,0.08062466979026794,768,3072
t5-base,actmat,transformer.decoder.block.0.layer.2.DenseReluDense.wo.weight,81,cosine_similarity,0.05833107978105545,3072,768
