dataset,layer_name,layer_idx,angular_distance,type
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wo,41,-0.39335206151008606,$\delta_\text{ssc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.q,42,,cross
qasc,transformer.encoder.block.7.layer.0.SelfAttention.q,42,,corr
qasc,transformer.encoder.block.7.layer.0.SelfAttention.q,42,,drift
qasc,transformer.encoder.block.7.layer.0.SelfAttention.q,42,,tot
qasc,transformer.encoder.block.7.layer.0.SelfAttention.q,42,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.q,42,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.k,43,,cross
qasc,transformer.encoder.block.7.layer.0.SelfAttention.k,43,,corr
qasc,transformer.encoder.block.7.layer.0.SelfAttention.k,43,,drift
qasc,transformer.encoder.block.7.layer.0.SelfAttention.k,43,,tot
qasc,transformer.encoder.block.7.layer.0.SelfAttention.k,43,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.k,43,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.v,44,0.06961534172296524,cross
qasc,transformer.encoder.block.7.layer.0.SelfAttention.v,44,0.0609060674905777,corr
qasc,transformer.encoder.block.7.layer.0.SelfAttention.v,44,0.293605774641037,drift
qasc,transformer.encoder.block.7.layer.0.SelfAttention.v,44,0.2799312472343445,tot
qasc,transformer.encoder.block.7.layer.0.SelfAttention.v,44,-0.09846290946006775,$\delta_\text{gsc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.v,44,-0.0457330197095871,$\delta_\text{ssc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.o,45,0.07844946533441544,cross
qasc,transformer.encoder.block.7.layer.0.SelfAttention.o,45,0.06913327425718307,corr
qasc,transformer.encoder.block.7.layer.0.SelfAttention.o,45,0.3344208598136902,drift
qasc,transformer.encoder.block.7.layer.0.SelfAttention.o,45,0.32305192947387695,tot
qasc,transformer.encoder.block.7.layer.0.SelfAttention.o,45,-0.10553702712059021,$\delta_\text{gsc}$
qasc,transformer.encoder.block.7.layer.0.SelfAttention.o,45,-0.05341464281082153,$\delta_\text{ssc}$
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wi,46,0.05258990824222565,cross
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wi,46,0.06544213742017746,corr
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wi,46,0.26893138885498047,drift
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wi,46,0.2529519200325012,tot
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wi,46,-0.07844950258731842,$\delta_\text{gsc}$
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wi,46,-0.05556201934814453,$\delta_\text{ssc}$
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wo,47,0.13572673499584198,cross
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wo,47,0.25185734033584595,corr
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wo,47,0.4595414996147156,drift
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wo,47,0.4232707619667053,tot
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wo,47,-0.1447315216064453,$\delta_\text{gsc}$
qasc,transformer.encoder.block.7.layer.1.DenseReluDense.wo,47,-0.27912330627441406,$\delta_\text{ssc}$
qasc,transformer.encoder.block.8.layer.0.SelfAttention.q,48,,cross
qasc,transformer.encoder.block.8.layer.0.SelfAttention.q,48,,corr
qasc,transformer.encoder.block.8.layer.0.SelfAttention.q,48,,drift
qasc,transformer.encoder.block.8.layer.0.SelfAttention.q,48,,tot
qasc,transformer.encoder.block.8.layer.0.SelfAttention.q,48,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.8.layer.0.SelfAttention.q,48,,$\delta_\text{ssc}$
