dataset,step,layer_name,layer_idx,angular_distance,type
Cars,0,model.visual.transformer.resblocks.10.attn.v,62,0.24589701677155357,cross
Cars,0,model.visual.transformer.resblocks.10.attn.v,62,0.36991729185069594,corr
Cars,0,model.visual.transformer.resblocks.10.attn.v,62,0.330031470767821,gst
Cars,0,model.visual.transformer.resblocks.10.attn.o,63,0.32054349710131824,cross
Cars,0,model.visual.transformer.resblocks.10.attn.o,63,0.35745114437535336,corr
Cars,0,model.visual.transformer.resblocks.10.attn.o,63,0.25516268729360314,gst
Cars,0,model.visual.transformer.resblocks.10.mlp.c_fc,64,0.2438893441813352,cross
Cars,0,model.visual.transformer.resblocks.10.mlp.c_fc,64,0.3689457243009719,corr
Cars,0,model.visual.transformer.resblocks.10.mlp.c_fc,64,0.28842282236980266,gst
Cars,0,model.visual.transformer.resblocks.10.mlp.c_proj,65,0.3487689645379295,cross
Cars,0,model.visual.transformer.resblocks.10.mlp.c_proj,65,0.46245301146400003,corr
Cars,0,model.visual.transformer.resblocks.10.mlp.c_proj,65,0.38637552324175456,gst
Cars,0,model.visual.transformer.resblocks.11.attn.q,66,0.026588314909105962,cross
Cars,0,model.visual.transformer.resblocks.11.attn.q,66,0.434463864132085,corr
Cars,0,model.visual.transformer.resblocks.11.attn.q,66,0.4354355149511642,gst
Cars,0,model.visual.transformer.resblocks.11.attn.k,67,0.21999467518358137,cross
Cars,0,model.visual.transformer.resblocks.11.attn.k,67,0.3945649477956975,corr
Cars,0,model.visual.transformer.resblocks.11.attn.k,67,0.38444062302633464,gst
Cars,0,model.visual.transformer.resblocks.11.attn.v,68,0.4301008566522419,cross
Cars,0,model.visual.transformer.resblocks.11.attn.v,68,0.4171805882322919,corr
Cars,0,model.visual.transformer.resblocks.11.attn.v,68,0.3657187346185592,gst
Cars,0,model.visual.transformer.resblocks.11.attn.o,69,0.10696374512993617,cross
Cars,0,model.visual.transformer.resblocks.11.attn.o,69,0.4374316008713223,corr
Cars,0,model.visual.transformer.resblocks.11.attn.o,69,0.4478206757834173,gst
Cars,0,model.visual.transformer.resblocks.11.mlp.c_fc,70,0.045062940216086,cross
Cars,0,model.visual.transformer.resblocks.11.mlp.c_fc,70,0.4936068421760619,corr
Cars,0,model.visual.transformer.resblocks.11.mlp.c_fc,70,0.49466472974533077,gst
Cars,0,model.visual.transformer.resblocks.11.mlp.c_proj,71,0.044355511413346586,cross
Cars,0,model.visual.transformer.resblocks.11.mlp.c_proj,71,0.42858724559650835,corr
Cars,0,model.visual.transformer.resblocks.11.mlp.c_proj,71,0.43080922944430555,gst
Cars,200,model.visual.transformer.resblocks.0.attn.q,0,0.3844595890361297,cross
Cars,200,model.visual.transformer.resblocks.0.attn.q,0,0.2281552536100383,corr
Cars,200,model.visual.transformer.resblocks.0.attn.q,0,0.43062474949076296,gst
Cars,200,model.visual.transformer.resblocks.0.attn.k,1,0.11685147844085277,cross
Cars,200,model.visual.transformer.resblocks.0.attn.k,1,0.377897439720778,corr
Cars,200,model.visual.transformer.resblocks.0.attn.k,1,0.361903235828172,gst
Cars,200,model.visual.transformer.resblocks.0.attn.v,2,0.07093605841760664,cross
Cars,200,model.visual.transformer.resblocks.0.attn.v,2,0.3830318439934021,corr
Cars,200,model.visual.transformer.resblocks.0.attn.v,2,0.34721129682042495,gst
Cars,200,model.visual.transformer.resblocks.0.attn.o,3,0.2987970403782488,cross
Cars,200,model.visual.transformer.resblocks.0.attn.o,3,0.17501431377667248,corr
Cars,200,model.visual.transformer.resblocks.0.attn.o,3,0.3495241549840173,gst
Cars,200,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.2331296557967205,cross
Cars,200,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.1900041667296378,corr
Cars,200,model.visual.transformer.resblocks.0.mlp.c_fc,4,0.32105134103131344,gst
Cars,200,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.13764540661185828,cross
Cars,200,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.08504306913775965,corr
Cars,200,model.visual.transformer.resblocks.0.mlp.c_proj,5,0.15255029073424506,gst
Cars,200,model.visual.transformer.resblocks.1.attn.q,6,0.218167731375472,cross
Cars,200,model.visual.transformer.resblocks.1.attn.q,6,0.1377765039100827,corr
Cars,200,model.visual.transformer.resblocks.1.attn.q,6,0.24710154933364628,gst
Cars,200,model.visual.transformer.resblocks.1.attn.k,7,0.13171410191369445,cross
Cars,200,model.visual.transformer.resblocks.1.attn.k,7,0.20373611064508435,corr
Cars,200,model.visual.transformer.resblocks.1.attn.k,7,0.24425263029747304,gst
Cars,200,model.visual.transformer.resblocks.1.attn.v,8,0.06604764982081344,cross
Cars,200,model.visual.transformer.resblocks.1.attn.v,8,0.2825154182625355,corr
Cars,200,model.visual.transformer.resblocks.1.attn.v,8,0.24839642538594717,gst
Cars,200,model.visual.transformer.resblocks.1.attn.o,9,0.14703838662774063,cross
Cars,200,model.visual.transformer.resblocks.1.attn.o,9,0.17862775713394827,corr
Cars,200,model.visual.transformer.resblocks.1.attn.o,9,0.22131038268096617,gst
Cars,200,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.16933875608792287,cross
Cars,200,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.36217653677642997,corr
Cars,200,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.4203321989774021,gst
Cars,200,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.10571141265611048,cross
Cars,200,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.08409503450752785,corr
Cars,200,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.10127076674486138,gst
Cars,200,model.visual.transformer.resblocks.2.attn.q,12,0.21805281651290434,cross
Cars,200,model.visual.transformer.resblocks.2.attn.q,12,0.15964935759993953,corr
Cars,200,model.visual.transformer.resblocks.2.attn.q,12,0.27483434435579224,gst
Cars,200,model.visual.transformer.resblocks.2.attn.k,13,0.12231734285751387,cross
Cars,200,model.visual.transformer.resblocks.2.attn.k,13,0.30432479556780745,corr
Cars,200,model.visual.transformer.resblocks.2.attn.k,13,0.33902779602352634,gst
Cars,200,model.visual.transformer.resblocks.2.attn.v,14,0.06252425939851983,cross
Cars,200,model.visual.transformer.resblocks.2.attn.v,14,0.37177737251845,corr
Cars,200,model.visual.transformer.resblocks.2.attn.v,14,0.34519235683266164,gst
Cars,200,model.visual.transformer.resblocks.2.attn.o,15,0.14269571594063468,cross
Cars,200,model.visual.transformer.resblocks.2.attn.o,15,0.19666529423098422,corr
Cars,200,model.visual.transformer.resblocks.2.attn.o,15,0.2190297893090633,gst
Cars,200,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.08315135931417937,cross
Cars,200,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.3099449017857893,corr
Cars,200,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.3420328433652697,gst
Cars,200,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.0789766278596807,cross
Cars,200,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.09571649378160554,corr
Cars,200,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.10311303843516917,gst
Cars,200,model.visual.transformer.resblocks.3.attn.q,18,0.2860555550179493,cross
Cars,200,model.visual.transformer.resblocks.3.attn.q,18,0.18512860471447715,corr
Cars,200,model.visual.transformer.resblocks.3.attn.q,18,0.33268410607287113,gst
Cars,200,model.visual.transformer.resblocks.3.attn.k,19,0.09870274273035438,cross
Cars,200,model.visual.transformer.resblocks.3.attn.k,19,0.3309968632585477,corr
Cars,200,model.visual.transformer.resblocks.3.attn.k,19,0.3347482805472309,gst
Cars,200,model.visual.transformer.resblocks.3.attn.v,20,0.07516936245145628,cross
Cars,200,model.visual.transformer.resblocks.3.attn.v,20,0.3593628931698277,corr
Cars,200,model.visual.transformer.resblocks.3.attn.v,20,0.31477720382362157,gst
Cars,200,model.visual.transformer.resblocks.3.attn.o,21,0.16236556043860206,cross
Cars,200,model.visual.transformer.resblocks.3.attn.o,21,0.2533450435945067,corr
Cars,200,model.visual.transformer.resblocks.3.attn.o,21,0.24508458618678103,gst
Cars,200,model.visual.transformer.resblocks.3.mlp.c_fc,22,0.04840245350011354,cross
Cars,200,model.visual.transformer.resblocks.3.mlp.c_fc,22,0.2722945162033459,corr
Cars,200,model.visual.transformer.resblocks.3.mlp.c_fc,22,0.25470844190617287,gst
Cars,200,model.visual.transformer.resblocks.3.mlp.c_proj,23,0.09259880899402106,cross
Cars,200,model.visual.transformer.resblocks.3.mlp.c_proj,23,0.12107704412507858,corr
Cars,200,model.visual.transformer.resblocks.3.mlp.c_proj,23,0.1285185131791994,gst
Cars,200,model.visual.transformer.resblocks.4.attn.q,24,0.19180212154881188,cross
Cars,200,model.visual.transformer.resblocks.4.attn.q,24,0.2125494815890989,corr
Cars,200,model.visual.transformer.resblocks.4.attn.q,24,0.2759646536417311,gst
Cars,200,model.visual.transformer.resblocks.4.attn.k,25,0.2027039955417988,cross
Cars,200,model.visual.transformer.resblocks.4.attn.k,25,0.28587359334481127,corr
Cars,200,model.visual.transformer.resblocks.4.attn.k,25,0.28400712998133104,gst
Cars,200,model.visual.transformer.resblocks.4.attn.v,26,0.18913972824907355,cross
Cars,200,model.visual.transformer.resblocks.4.attn.v,26,0.36703379715344625,corr
Cars,200,model.visual.transformer.resblocks.4.attn.v,26,0.2752655364813402,gst
Cars,200,model.visual.transformer.resblocks.4.attn.o,27,0.1342963621569482,cross
Cars,200,model.visual.transformer.resblocks.4.attn.o,27,0.24442560402255226,corr
Cars,200,model.visual.transformer.resblocks.4.attn.o,27,0.2562199516047323,gst
Cars,200,model.visual.transformer.resblocks.4.mlp.c_fc,28,0.06746937284385293,cross
Cars,200,model.visual.transformer.resblocks.4.mlp.c_fc,28,0.21556416590509203,corr
Cars,200,model.visual.transformer.resblocks.4.mlp.c_fc,28,0.1883266791779411,gst
Cars,200,model.visual.transformer.resblocks.4.mlp.c_proj,29,0.0899916070074612,cross
Cars,200,model.visual.transformer.resblocks.4.mlp.c_proj,29,0.12898965901469628,corr
Cars,200,model.visual.transformer.resblocks.4.mlp.c_proj,29,0.14255618894595395,gst
Cars,200,model.visual.transformer.resblocks.5.attn.q,30,0.17517121412286188,cross
Cars,200,model.visual.transformer.resblocks.5.attn.q,30,0.20731423407794544,corr
Cars,200,model.visual.transformer.resblocks.5.attn.q,30,0.266703727518957,gst
Cars,200,model.visual.transformer.resblocks.5.attn.k,31,0.16235145425904657,cross
Cars,200,model.visual.transformer.resblocks.5.attn.k,31,0.3280404689390909,corr
Cars,200,model.visual.transformer.resblocks.5.attn.k,31,0.33381973594753833,gst
Cars,200,model.visual.transformer.resblocks.5.attn.v,32,0.26952594621839143,cross
Cars,200,model.visual.transformer.resblocks.5.attn.v,32,0.3285837600863137,corr
Cars,200,model.visual.transformer.resblocks.5.attn.v,32,0.23547087256083413,gst
Cars,200,model.visual.transformer.resblocks.5.attn.o,33,0.10445457679091892,cross
Cars,200,model.visual.transformer.resblocks.5.attn.o,33,0.170786423701662,corr
Cars,200,model.visual.transformer.resblocks.5.attn.o,33,0.19192424138444636,gst
Cars,200,model.visual.transformer.resblocks.5.mlp.c_fc,34,0.061975050217838064,cross
Cars,200,model.visual.transformer.resblocks.5.mlp.c_fc,34,0.18748351455572174,corr
Cars,200,model.visual.transformer.resblocks.5.mlp.c_fc,34,0.158248043792793,gst
Cars,200,model.visual.transformer.resblocks.5.mlp.c_proj,35,0.08945637524862848,cross
Cars,200,model.visual.transformer.resblocks.5.mlp.c_proj,35,0.1775437416108945,corr
Cars,200,model.visual.transformer.resblocks.5.mlp.c_proj,35,0.18542533546394385,gst
Cars,200,model.visual.transformer.resblocks.6.attn.q,36,0.1592457889445362,cross
Cars,200,model.visual.transformer.resblocks.6.attn.q,36,0.2297476604939399,corr
Cars,200,model.visual.transformer.resblocks.6.attn.q,36,0.2442999884985312,gst
Cars,200,model.visual.transformer.resblocks.6.attn.k,37,0.24241968625832408,cross
