model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,405377.71875,MNIST,692100.25,0.5857210985691741
ViT-B-16,Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,405377.71875,SVHN,424177.4375,0.9556795880969035
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,3885047.5,Cars,3885047.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,3885047.5,DTD,4172715.5,0.931059761922422
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,3885047.5,EuroSAT,3180268.25,1.2216100009802633
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,3885047.5,GTSRB,5362240.0,0.7245195105030734
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,3885047.5,MNIST,5976999.5,0.649999636105039
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,3885047.5,SVHN,2504184.5,1.5514222294723092
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,401689.40625,Cars,401689.40625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,401689.40625,DTD,412162.71875,0.9745893744786931
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,401689.40625,EuroSAT,538794.8125,0.7455331731687747
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,401689.40625,GTSRB,1218125.0,0.32976041559774244
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,401689.40625,MNIST,860351.0,0.46689014861376343
ViT-B-16,Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,401689.40625,SVHN,622263.125,0.645529825104131
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,3584809.5,Cars,3584809.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,3584809.5,DTD,2682719.5,1.3362595306740046
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,3584809.5,EuroSAT,4114586.0,0.8712442758518111
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,3584809.5,GTSRB,5590509.5,0.6412312688136922
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,3584809.5,MNIST,8010666.5,0.4475045241241787
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,3584809.5,SVHN,2630460.5,1.3628068165250913
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,269624.21875,Cars,269624.21875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,269624.21875,DTD,244058.015625,1.1047546136090978
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,269624.21875,EuroSAT,334062.96875,0.8071059769326797
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,269624.21875,GTSRB,558776.125,0.482526376283525
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,269624.21875,MNIST,696710.125,0.3869962687136203
ViT-B-16,Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,269624.21875,SVHN,337992.8125,0.7977217525890435
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,5905011.5,Cars,5905011.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,5905011.5,DTD,4133709.0,1.428501982118238
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,5905011.5,EuroSAT,5581710.5,1.057921491987089
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,5905011.5,GTSRB,7473548.5,0.790121519917881
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,5905011.5,MNIST,9820367.0,0.6013025276957572
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,5905011.5,SVHN,3607585.25,1.636832144160696
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,343628.75,Cars,343628.75,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,343628.75,DTD,303032.5625,1.1339664198628818
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,343628.75,EuroSAT,402918.65625,0.8528489427572888
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,343628.75,GTSRB,611010.6875,0.5623940088609334
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,343628.75,MNIST,506101.5,0.6789720046275303
ViT-B-16,Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,343628.75,SVHN,378968.5,0.9067475265094592
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,6826400.5,Cars,6826400.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,6826400.5,DTD,5254150.5,1.2992396201821779
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,6826400.5,EuroSAT,6064788.5,1.1255793173991147
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,6826400.5,GTSRB,8379814.5,0.8146242974710239
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,6826400.5,MNIST,8581960.0,0.7954360658870467
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,6826400.5,SVHN,3794853.75,1.7988573340935734
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,471847.59375,Cars,471847.59375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,471847.59375,DTD,357141.3125,1.3211789765990738
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,471847.59375,EuroSAT,388356.65625,1.21498521051807
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,471847.59375,GTSRB,634848.375,0.7432445483537703
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,471847.59375,MNIST,496876.75,0.9496270327601362
ViT-B-16,Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,11,471847.59375,SVHN,293537.375,1.6074532033612414
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,7656502.0,Cars,7656502.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,7656502.0,DTD,5372011.5,1.4252579317821639
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,7656502.0,EuroSAT,6759191.5,1.13275411711593
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,7656502.0,GTSRB,9916551.0,0.7720932408858685
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,7656502.0,MNIST,7571337.5,1.0112482768071032
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_fc.weight,12,7656502.0,SVHN,3922196.25,1.9520955893015297
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_proj.weight,13,1023809.375,Cars,1023809.375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_proj.weight,13,1023809.375,DTD,632321.1875,1.6191286884562919
ViT-B-16,Cars,model.visual.transformer.resblocks.6.mlp.c_proj.weight,13,1023809.375,EuroSAT,625707.5625,1.6362426097415117
