model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.v.weight,98,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.o.weight,99,cosine_similarity,0.24531732499599457,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.o.weight,99,cosine_similarity,0.07291220128536224,768,768
t5-base,actmat,transformer.decoder.block.2.layer.2.DenseReluDense.wi.weight,100,cosine_similarity,0.3992251455783844,768,3072
t5-base,identity,transformer.decoder.block.2.layer.2.DenseReluDense.wi.weight,100,cosine_similarity,0.06220278516411781,768,3072
t5-base,actmat,transformer.decoder.block.2.layer.2.DenseReluDense.wo.weight,101,cosine_similarity,0.019727656617760658,3072,768
t5-base,identity,transformer.decoder.block.2.layer.2.DenseReluDense.wo.weight,101,cosine_similarity,0.026331599801778793,3072,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.q.weight,102,cosine_similarity,0.43685224652290344,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.q.weight,102,cosine_similarity,0.07287222892045975,768,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.k.weight,103,cosine_similarity,0.4136650264263153,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.k.weight,103,cosine_similarity,0.07287222892045975,768,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.v.weight,104,cosine_similarity,0.12036585062742233,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.v.weight,104,cosine_similarity,0.07287222892045975,768,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.o.weight,105,cosine_similarity,0.1981852650642395,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.o.weight,105,cosine_similarity,0.06411632895469666,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.q.weight,106,cosine_similarity,0.28068873286247253,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.q.weight,106,cosine_similarity,0.07317937910556793,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.k.weight,107,cosine_similarity,0.2591453790664673,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.k.weight,107,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.v.weight,108,cosine_similarity,0.2896537780761719,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.v.weight,108,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.o.weight,109,cosine_similarity,0.17934614419937134,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.o.weight,109,cosine_similarity,0.07145138829946518,768,768
t5-base,actmat,transformer.decoder.block.3.layer.2.DenseReluDense.wi.weight,110,cosine_similarity,0.3931688666343689,768,3072
t5-base,identity,transformer.decoder.block.3.layer.2.DenseReluDense.wi.weight,110,cosine_similarity,0.05746489390730858,768,3072
t5-base,actmat,transformer.decoder.block.3.layer.2.DenseReluDense.wo.weight,111,cosine_similarity,0.04897429421544075,3072,768
t5-base,identity,transformer.decoder.block.3.layer.2.DenseReluDense.wo.weight,111,cosine_similarity,0.030984142795205116,3072,768
t5-base,actmat,transformer.decoder.block.4.layer.0.SelfAttention.q.weight,112,cosine_similarity,0.43307122588157654,768,768
t5-base,identity,transformer.decoder.block.4.layer.0.SelfAttention.q.weight,112,cosine_similarity,0.06473592668771744,768,768
