dataset,layer_name,step,cosine_similarity,type
Cars,image_encoder.model.visual.transformer.resblocks.6.attn,1800,0.9942883253097534,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_fc,1800,0.998032808303833,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_proj,1800,1.000105857849121,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.q,1800,0.9943773150444031,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.k,1800,0.9943773150444031,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.v,1800,0.9943773150444031,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn.o,1800,0.992779016494751,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.attn,1800,0.9943773150444031,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_fc,1800,0.9979971647262573,cross
Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_proj,1800,1.0015641450881958,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.q,1800,0.9941571354866028,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.k,1800,0.9941571354866028,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.v,1800,0.9941571354866028,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.o,1800,0.9891742467880249,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn,1800,0.9941571354866028,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_fc,1800,0.9969751834869385,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_proj,1800,0.9978235960006714,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.q,1800,0.9943675994873047,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.k,1800,0.9943675994873047,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.v,1800,0.9943675994873047,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.o,1800,0.9856663346290588,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn,1800,0.9943675994873047,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_fc,1800,0.9941120147705078,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_proj,1800,0.9874188899993896,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.q,1800,0.9955922365188599,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.k,1800,0.9955922365188599,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.v,1800,0.9955922365188599,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.o,1800,0.9746003150939941,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn,1800,0.9955922365188599,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_fc,1800,0.9961860179901123,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_proj,1800,0.9941067695617676,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.q,1800,0.9986799359321594,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.k,1800,0.9986799359321594,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.v,1800,0.9986799359321594,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.o,1800,0.9876399636268616,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn,1800,0.9986799359321594,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_fc,1800,0.9988889694213867,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_proj,1800,0.9997504949569702,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.q,1600,0.9943327307701111,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.k,1600,0.9943327307701111,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.v,1600,0.9943327307701111,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.o,1600,0.9926736354827881,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn,1600,0.9943327307701111,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,1600,0.9977070093154907,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1600,1.000120759010315,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.q,1600,0.9948961138725281,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.k,1600,0.9948961138725281,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.v,1600,0.9948961138725281,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.o,1600,0.9879118800163269,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn,1600,0.9948961138725281,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,1600,0.9965439438819885,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,1600,0.9992417693138123,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.q,1600,0.9977990984916687,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.k,1600,0.9977990984916687,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.v,1600,0.9977990984916687,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.o,1600,0.9939478039741516,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn,1600,0.9977990984916687,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,1600,0.9978649020195007,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,1600,0.9992138743400574,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.q,1600,0.9964925050735474,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.k,1600,0.9964925050735474,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.v,1600,0.9964925050735474,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.o,1600,0.9923572540283203,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn,1600,0.9964925050735474,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,1600,0.9968104958534241,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,1600,0.9982119202613831,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.q,1600,0.9960249066352844,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.k,1600,0.9960249066352844,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.v,1600,0.9960249066352844,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.o,1600,0.989941418170929,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn,1600,0.9960249066352844,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_fc,1600,0.997427761554718,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_proj,1600,0.9979700446128845,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.q,1600,0.9968117475509644,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.k,1600,0.9968117475509644,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.v,1600,0.9968117475509644,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.o,1600,0.9912116527557373,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn,1600,0.9968117475509644,cross
