subset_id,method,task,size,retained,zs,relres
m12_27,mean,Food101,12,0.9140384529598073,0.8272079207920792,0.7552893378324843
m12_27,mean,GTSRB,12,0.4611941491487491,0.32557403008709423,0.7589678032554183
m12_27,mean,STL10,12,0.9924706482899438,0.97125,0.6739962342585225
m12_27,mean,SUN397,12,0.8660815971059155,0.6318891687657431,0.7292801036139858
m12_28,mean,CIFAR10,12,0.9446031422158743,0.8983,0.736908701191446
m12_28,mean,Cars,12,0.7671125098347757,0.5964432284541724,0.7795350991958175
m12_28,mean,EMNIST,12,0.39385663818805905,0.171975,0.7852460901200624
m12_28,mean,FER2013,12,0.7220729366602687,0.492059069378657,0.7770937606362034
m12_28,mean,Flowers102,12,0.7577729573391179,0.6631972678484307,0.7285071780093197
m12_28,mean,Food101,12,0.9288486416558861,0.8272079207920792,0.7599578499809468
m12_28,mean,GTSRB,12,0.43849412516985053,0.32557403008709423,0.7567435040960641
m12_28,mean,KMNIST,12,0.10407147933800386,0.0977,0.7800665513822218
m12_28,mean,OxfordIIITPet,12,0.9643069601427722,0.8743526846552194,0.7408630176366199
m12_28,mean,RESISC45,12,0.7064280980781974,0.6022222222222222,0.7519047453835137
m12_28,mean,RenderedSST2,12,0.8311306901615272,0.585941790225151,0.8250811172354745
m12_28,mean,SUN397,12,0.8613251155624037,0.6318891687657431,0.7256481682325889
m12_32,mean,CIFAR100,12,0.7818610923803101,0.642,0.6840835599227524
m12_32,mean,Cars,12,0.7609756097560976,0.5964432284541724,0.7855617578868807
m12_32,mean,EMNIST,12,0.36867687219702855,0.171975,0.7825928615140954
m12_32,mean,EuroSAT,12,0.5843960990247562,0.45444444444444443,0.7676581200682697
m12_32,mean,FashionMNIST,12,0.7634724260851331,0.6302,0.7607230858051421
m12_32,mean,Flowers102,12,0.755242227042661,0.6631972678484307,0.7309766830140875
m12_32,mean,GTSRB,12,0.4606346415154664,0.32557403008709423,0.7606601833419591
m12_32,mean,KMNIST,12,0.1069144075540664,0.0977,0.7752387541353408
m12_32,mean,OxfordIIITPet,12,0.9607376561570493,0.8743526846552194,0.7391107362851891
m12_32,mean,PCAM,12,0.7489686254116832,0.606201171875,0.8347926583483622
m12_32,mean,STL10,12,0.9905564063297599,0.97125,0.7020116204755688
m12_32,mean,SUN397,12,0.8634018891940778,0.6318891687657431,0.7415848058571622
m12_35,mean,CIFAR10,12,0.9552132217914712,0.8983,0.6773513039716117
m12_35,mean,CIFAR100,12,0.8040008990784446,0.642,0.6580623340784622
m12_35,mean,Cars,12,0.752006294256491,0.5964432284541724,0.7896778661877191
m12_35,mean,DTD,12,0.6077235772357723,0.4441489361702128,0.7377846704130877
m12_35,mean,FER2013,12,0.7435700575815739,0.492059069378657,0.7740911440903548
m12_35,mean,FashionMNIST,12,0.7739568043615014,0.6302,0.7506289607237487
m12_35,mean,Flowers102,12,0.752711496746204,0.6631972678484307,0.7377579582928486
m12_35,mean,Food101,12,0.9129678369094884,0.8272079207920792,0.7567182037340234
m12_35,mean,KMNIST,12,0.1093512031678343,0.0977,0.7715804063564041
m12_35,mean,MNIST,12,0.7771646433229658,0.4825,0.7398252590800911
m12_35,mean,STL10,12,0.9895354772843287,0.97125,0.6907674280231342
m12_35,mean,SVHN,12,0.5443646975313511,0.3160725261216964,0.7599135370388408
m12_29,mean,CIFAR100,12,0.7826477860193302,0.642,0.6917886263966575
m12_29,mean,Cars,12,0.7798583792289535,0.5964432284541724,0.7864106325457075
m12_29,mean,DTD,12,0.6104336043360433,0.4441489361702128,0.7279634793623365
m12_29,mean,EMNIST,12,0.39944379024378024,0.171975,0.7699857734022001
m12_29,mean,EuroSAT,12,0.605026256564141,0.45444444444444443,0.768583568139725
m12_29,mean,FashionMNIST,12,0.7631578947368421,0.6302,0.7654119895889666
m12_29,mean,Flowers102,12,0.7635574837310195,0.6631972678484307,0.7348857936404505
m12_29,mean,Food101,12,0.9215773743141366,0.8272079207920792,0.7605217444785444
m12_29,mean,GTSRB,12,0.45711773639197506,0.32557403008709423,0.7508291697144203
m12_29,mean,MNIST,12,0.7330189625765025,0.4825,0.7543482894060654
m12_29,mean,PCAM,12,0.7275784364707921,0.606201171875,0.8372259068335444
m12_29,mean,SUN397,12,0.8615930863535874,0.6318891687657431,0.735258446869569
m12_33,mean,CIFAR10,12,0.9558253417669863,0.8983,0.6783647597425053
m12_33,mean,CIFAR100,12,0.8088334457181389,0.642,0.6525907792644693
m12_33,mean,DTD,12,0.6036585365853658,0.4441489361702128,0.7161131293933227
m12_33,mean,EMNIST,12,0.36742414752085784,0.171975,0.7909504263907876
m12_33,mean,FER2013,12,0.7347408829174664,0.492059069378657,0.7742843805422892
m12_33,mean,FashionMNIST,12,0.7712308660096456,0.6302,0.7606936683424071
m12_33,mean,Flowers102,12,0.755061460592914,0.6631972678484307,0.7243049033858852
m12_33,mean,GTSRB,12,0.45679801774438494,0.32557403008709423,0.7561850413000734
m12_33,mean,OxfordIIITPet,12,0.9607376561570493,0.8743526846552194,0.7412030459903556
m12_33,mean,RESISC45,12,0.7002982107355865,0.6022222222222222,0.7398830945032753
m12_33,mean,STL10,12,0.9938744257274119,0.97125,0.6640068706526294
m12_33,mean,SUN397,12,0.8644737723588128,0.6318891687657431,0.7122982132647298
m4_00,actmat,CIFAR100,4,0.9126770060687796,0.642,0.0400348966945206
m4_00,actmat,Flowers102,4,0.8830441070137384,0.6631972678484307,0.1063920404544076
m4_00,actmat,MNIST,4,0.9986956957961272,0.4825,0.0086771536751805
m4_00,actmat,OxfordIIITPet,4,0.991076740035693,0.8743526846552194,0.0843206461697199
m4_02,actmat,FER2013,4,0.9305182341650671,0.492059069378657,0.0487851726592439
m4_02,actmat,KMNIST,4,0.9967509391816428,0.0977,0.0222531459107904
m4_02,actmat,RESISC45,4,0.9802849569251159,0.6022222222222222,0.050543073020776
